"Subj","Issue","ReverseCode_Issue","Video","ReverseCode_Video","Agree","Credible","Change","Group"
1004,1,2,1,1,5,4,3,"Conservative"
1004,1,2,2,2,4,4,4,"Conservative"
1004,1,2,3,1,5,4,3,"Conservative"
1004,1,2,4,2,3,3,4,"Conservative"
1004,2,1,5,1,5,4,4,"Conservative"
1004,2,1,6,2,4,4,2,"Conservative"
1004,2,1,7,1,5,5,4,"Conservative"
1004,2,1,8,2,5,4,2,"Conservative"
1004,3,2,9,1,3,4,3,"Conservative"
1004,3,2,10,2,4,4,3,"Conservative"
1004,3,2,11,1,4,4,1,"Conservative"
1004,3,2,12,2,3,4,3,"Conservative"
1004,4,1,13,1,3,4,3,"Conservative"
1004,4,1,14,2,5,4,2,"Conservative"
1004,4,1,15,1,4,4,3,"Conservative"
1004,4,1,16,2,4,4,3,"Conservative"
1004,5,1,17,1,5,4,5,"Conservative"
1004,5,1,18,2,4,4,3,"Conservative"
1004,5,1,19,1,4,4,4,"Conservative"
1004,5,1,20,2,3,3,2,"Conservative"
1004,6,2,21,1,4,4,2,"Conservative"
1004,6,2,22,2,3,3,2,"Conservative"
1004,6,2,23,1,3,4,1,"Conservative"
1004,6,2,24,2,4,4,4,"Conservative"
1005,1,2,1,1,5,5,1,"Liberal"
1005,1,2,2,2,2,2,1,"Liberal"
1005,1,2,3,1,5,5,1,"Liberal"
1005,1,2,4,2,3,3,2,"Liberal"
1005,2,1,5,1,3,3,3,"Liberal"
1005,2,1,6,2,1,2,4,"Liberal"
1005,2,1,7,1,4,4,4,"Liberal"
1005,2,1,8,2,4,3,2,"Liberal"
1005,3,2,9,1,3,3,1,"Liberal"
1005,3,2,10,2,2,2,1,"Liberal"
1005,3,2,11,1,5,5,2,"Liberal"
1005,3,2,12,2,1,1,1,"Liberal"
1005,4,1,13,1,4,4,4,"Liberal"
1005,4,1,14,2,1,2,3,"Liberal"
1005,4,1,15,1,4,4,4,"Liberal"
1005,4,1,16,2,3,4,2,"Liberal"
1005,5,1,17,1,5,5,5,"Liberal"
1005,5,1,18,2,3,3,2,"Liberal"
1005,5,1,19,1,5,5,5,"Liberal"
1005,5,1,20,2,3,3,2,"Liberal"
1005,6,2,21,1,5,5,5,"Liberal"
1005,6,2,22,2,2,2,1,"Liberal"
1005,6,2,23,1,4,4,1,"Liberal"
1005,6,2,24,2,3,4,2,"Liberal"
1006,1,2,1,1,4,3,3,"Conservative"
1006,1,2,2,2,4,4,4,"Conservative"
1006,1,2,3,1,2,3,3,"Conservative"
1006,1,2,4,2,4,3,5,"Conservative"
1006,2,1,5,1,3,2,3,"Conservative"
1006,2,1,6,2,4,4,2,"Conservative"
1006,2,1,7,1,2,2,2,"Conservative"
1006,2,1,8,2,4,3,2,"Conservative"
1006,3,2,9,1,5,4,1,"Conservative"
1006,3,2,10,2,2,2,2,"Conservative"
1006,3,2,11,1,5,4,1,"Conservative"
1006,3,2,12,2,2,2,2,"Conservative"
1006,4,1,13,1,2,2,3,"Conservative"
1006,4,1,14,2,4,3,3,"Conservative"
1006,4,1,15,1,4,3,4,"Conservative"
1006,4,1,16,2,4,3,2,"Conservative"
1006,5,1,17,1,4,4,4,"Conservative"
1006,5,1,18,2,4,3,2,"Conservative"
1006,5,1,19,1,4,3,4,"Conservative"
