Subj,Political Affiliation and Ideology 2,BorderWall,WorkStatus,TravelBan,Healthcare,Citizenship,ICE,Please indicate your age:,Please indicate your gender:
1,3,1,4,5,1,1,4,29,female
2,6,7,2,7,1,3,7,24,Male
3,3,1,1,5,5,5,7,30,male
4,4,1,6,1,4,6,1,30,male
5,2,2,6,2,5,7,5,33,male
6,4,1,7,1,2,7,2,24,Male
7,2,1,5,1,7,7,1,39,Male
8,1,1,7,1,7,7,1,34,male
9,2,1,6,2,4,7,1,27,female
10,3,1,1,3,5,7,5,28,male
11,4,4,5,5,5,5,4,24,female
12,2,1,5,1,3,6,1,38,female
13,1,1,5,1,4,5,1,25,Female
14,7,4,1,7,1,4,4,35,Male
15,4,5,2,2,2,6,4,25,male
16,3,6,1,7,1,2,6,28,Male
17,3,1,2,2,2,5,7,27,Male
18,6,7,1,7,1,5,7,23,Male
19,5,3,5,3,4,6,3,27,Male
20,4,4,4,4,4,4,4,23,Male
21,1,1,6,1,6,6,1,50,female
22,3,5,6,3,5,6,4,26,Male
23,4,3,2,2,3,5,4,24,m
24,2,1,5,3,4,6,3,33,Male
25,4,1,1,1,1,7,5,29,Male
26,5,6,2,5,2,2,6,27,Male
27,6,6,1,7,2,3,7,58,female
28,2,1,3,1,6,7,1,30,Male
29,2,1,5,1,6,7,1,34,male
30,3,3,5,6,4,3,5,23,male
31,5,2,2,7,4,4,7,35,male
32,1,1,7,1,7,7,1,36,Female
33,4,1,6,1,5,7,5,54,female
34,1,2,7,3,4,7,1,38,Female
35,4,2,2,6,2,6,6,29,male
36,2,1,5,2,3,6,3,38,Male
37,2,1,5,1,5,7,4,36,Male
38,3,1,3,1,1,7,1,35,female
39,3,1,5,1,5,7,1,34,FEMALE
40,3,1,4,1,3,6,2,34,male
41,1,1,4,1,4,5,4,30,female
42,5,6,2,7,2,2,6,29,male
43,4,2,1,4,4,7,4,37,female
44,2,1,7,1,7,7,1,53,female
45,3,1,6,1,3,7,1,28,FEMALE
46,1,1,6,1,7,7,1,23,Genderless
47,1,1,6,1,3,6,1,41,female
48,4,1,5,2,4,7,3,33,female
49,5,1,2,1,4,7,4,21,Male
50,7,7,1,5,1,1,7,48,Male
51,5,7,1,7,1,1,7,44,female
52,2,1,5,1,6,7,1,44,Female
53,6,2,6,2,6,6,2,37,female
54,4,1,7,1,7,7,1,32,FEMALE
55,4,2,3,2,2,5,4,33,female
56,1,1,5,1,6,6,1,36,Male
57,6,7,1,7,1,5,7,25,Male
58,1,1,7,1,7,7,1,29,Male
59,1,1,6,1,5,7,1,32,Male
60,6,6,1,7,1,3,7,52,female
61,3,1,1,5,1,1,5,24,Male
62,2,3,6,2,5,6,1,34,male
63,2,5,3,7,6,6,7,28,male
64,2,2,5,3,2,4,5,29,male
65,6,7,1,6,1,5,7,28,Female
66,4,1,1,1,4,5,1,31,female
67,5,6,2,3,4,4,4,29,male
68,6,7,1,4,1,1,6,36,female
69,2,1,6,2,4,7,1,36,Female
70,3,6,5,6,6,6,6,36,Male
71,4,4,1,4,1,4,7,24,female
72,1,1,7,1,1,7,7,22,male
73,5,5,2,2,4,6,3,24,male
74,4,7,1,7,1,1,7,24,Male
75,1,1,6,1,7,7,1,39,Female
76,5,7,1,7,1,1,7,53,m
77,2,2,4,2,5,6,1,28,male
78,6,5,1,7,1,1,7,50,Female
79,4,2,4,5,2,3,5,26,female
80,6,7,1,6,1,2,6,32,Male
81,4,1,1,5,2,6,4,24,female
82,1,1,2,1,2,7,1,47,Female
83,4,1,7,2,6,6,2,35,Female
84,4,2,4,1,4,5,4,34,Male
85,5,5,1,3,1,5,6,40,female
86,3,1,3,1,5,7,1,32,Male
87,4,1,4,1,5,7,1,23,Male
88,2,1,7,1,7,7,1,42,male
89,6,2,1,5,4,5,5,24,Male
90,1,2,2,2,2,2,2,32,F
91,5,1,6,4,6,6,2,37,Female
92,4,7,1,1,1,1,7,26,Female
93,1,1,5,1,2,6,4,55,female
94,2,1,3,2,6,6,2,33,male
95,1,1,7,1,7,7,1,31,Male
96,3,5,2,7,1,7,7,36,female 
97,7,5,2,5,3,6,5,71,Female
98,3,1,6,1,5,7,4,32,female
99,2,4,6,4,4,6,4,28,male
100,3,1,3,1,5,6,3,25,female
101,2,2,5,2,6,6,2,37,male
102,3,1,5,4,4,7,4,25,female
103,1,1,6,1,7,7,1,37,female
104,2,2,5,2,6,6,2,26,Male
105,4,5,4,4,3,5,6,33,Male
106,3,4,5,4,5,6,4,23,male
107,5,2,1,5,3,4,4,22,Male
108,3,6,3,6,1,2,7,57,female
109,7,6,1,7,1,7,6,54,Male
110,4,4,3,4,2,3,4,24,Male
111,6,6,2,6,2,2,7,27,Male
112,2,1,7,2,6,7,1,24,Male
113,1,1,6,3,4,7,2,24,female
114,1,1,7,1,7,7,1,32,male
115,2,3,5,4,3,5,1,30,male
116,3,2,5,2,4,5,4,32,male
