WC,MoralEmotional,UniquelyMoral,UniquelyEmotional,Number,Quantitative,PositiveEmotion,NegativeEmotional,Anxious,Anger,Sad,Social,Family,Friendship,Female,Male,CognitiveProcesses,Insight,Causation,Discrepancy,Tentative,Certainty,Differentiation,Perceptual,See,Hear,Feel,BiologicalProcessess,Body,Health,Sexual,Ingestion,Drives,Affiliation,Achievement,Power,Reward,Risk,PastFocus,PresentFocus,FutureFocus,Relativity,Motion,Space,Time,Work,Leisure,Home,Money,Religion,Death
67,0,2.99,1.49,0,1.54,0,1.54,1.54,0,0,6.15,0,0,0,0,3.08,0,0,1.54,1.54,0,0,3.08,0,3.08,0,0,0,0,0,0,16.92,1.54,0,13.85,0,1.54,1.54,13.85,4.62,21.54,3.08,13.85,3.08,9.23,0,0,3.08,0,0
58,0,3.45,5.17,0,3.64,3.64,1.82,0,1.82,0,7.27,0,0,0,0,7.27,0,0,0,5.45,0,1.82,0,0,0,0,3.64,0,3.64,0,1.82,23.64,7.27,5.45,10.91,0,0,3.64,18.18,0,10.91,1.82,5.45,3.64,12.73,0,1.82,1.82,0,0
87,0,1.15,2.3,3.57,2.38,1.19,1.19,1.19,0,0,14.29,0,0,0,2.38,13.1,4.76,1.19,1.19,1.19,3.57,1.19,2.38,0,2.38,0,0,0,0,0,0,11.9,4.76,0,7.14,0,0,7.14,9.52,2.38,10.71,2.38,5.95,2.38,7.14,0,0,3.57,0,0
48,0,0,2.08,4.35,2.17,2.17,0,0,0,0,2.17,0,0,0,2.17,17.39,2.17,0,2.17,8.7,0,6.52,0,0,0,0,0,0,0,0,0,6.52,0,4.35,2.17,2.17,0,0,13.04,0,15.22,0,15.22,0,4.35,2.17,0,0,0,0
62,0,1.61,1.61,5.08,3.39,0,0,0,0,0,11.86,0,0,0,5.08,3.39,0,0,0,3.39,0,0,0,0,0,0,1.69,0,0,0,1.69,11.86,3.39,0,3.39,5.08,0,8.47,16.95,1.69,13.56,3.39,6.78,3.39,1.69,0,0,0,0,0
60,0,8.33,1.67,0,5.17,0,1.72,0,0,0,6.9,0,0,0,0,8.62,1.72,0,0,3.45,3.45,1.72,0,0,0,0,0,0,0,0,0,13.79,3.45,0,10.34,0,0,3.45,10.34,0,15.52,1.72,10.34,3.45,5.17,0,0,0,0,0
26,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,15.38,3.85,0,0,3.85,0,7.69,0,0,0,0,0,0,0,0,0,11.54,0,0,11.54,0,0,7.69,3.85,0,19.23,0,19.23,0,3.85,0,0,0,0,0
55,0,7.27,1.82,9.09,3.64,0,0,0,0,0,12.73,0,0,0,0,7.27,3.64,0,0,1.82,0,1.82,0,0,0,0,0,0,0,0,0,5.45,3.64,1.82,0,0,0,10.91,10.91,0,18.18,5.45,7.27,7.27,5.45,1.82,0,5.45,0,0
52,0,5.77,3.85,13.46,7.69,0,0,0,0,0,0,0,0,0,0,11.54,0,1.92,0,3.85,1.92,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,1.92,11.54,3.85,3.85,3.85,1.92,0,0,1.92,0,0
49,0,6.12,4.08,0,0,0,0,0,0,0,6.12,2.04,2.04,0,0,16.33,6.12,2.04,4.08,2.04,0,8.16,0,0,0,0,0,0,0,0,0,8.16,4.08,2.04,2.04,0,0,2.04,12.24,6.12,22.45,8.16,12.24,2.04,0,2.04,2.04,0,0,0
